# 股票在所有持仓中出现次数 

Score: 1.311,  Stock name: 顺丰控股
Score: 1.267,  Stock name: 新宙邦
Score: 1.267,  Stock name: 福耀玻璃
Score: 1.267,  Stock name: 海大集团
Score: 1.222,  Stock name: 万华化学
Score: 1.222,  Stock name: 中航光电
Score: 1.178,  Stock name: 通策医疗
Score: 1.133,  Stock name: 嘉元科技
Score: 1.000,  Stock name: 智飞生物
Score: 0.900,  Stock name: 桐昆股份
Score: 0.900,  Stock name: 用友网络
Score: 0.900,  Stock name: 东方日升
Score: 0.900,  Stock name: 中航沈飞
Score: 0.900,  Stock name: 东方雨虹
Score: 0.856,  Stock name: 长电科技
Score: 0.856,  Stock name: 迈为股份
Score: 0.856,  Stock name: 航天彩虹
Score: 0.856,  Stock name: 寒锐钴业
Score: 0.856,  Stock name: 美团-W
Score: 0.811,  Stock name: 洋河股份
Score: 0.811,  Stock name: 药明生物
Score: 0.811,  Stock name: 航天发展
Score: 0.811,  Stock name: 国瓷材料
Score: 0.811,  Stock name: 锦浪科技
Score: 0.811,  Stock name: 三一重工
Score: 0.811,  Stock name: 中航高科
Score: 0.811,  Stock name: 法拉电子
Score: 0.767,  Stock name: 平安银行
Score: 0.767,  Stock name: 海尔智家
Score: 0.767,  Stock name: 康泰生物
Score: 0.767,  Stock name: 先导智能
Score: 0.767,  Stock name: 欣旺达
Score: 0.767,  Stock name: 国轩高科
Score: 0.767,  Stock name: 鲁西化工
Score: 0.767,  Stock name: 汇顶科技
Score: 0.767,  Stock name: 睿创维纳
Score: 0.722,  Stock name: 方大炭素
Score: 0.722,  Stock name: 杰瑞股份
Score: 0.722,  Stock name: 火炬电子
Score: 0.722,  Stock name: 山西汾酒
Score: 0.722,  Stock name: 士兰微
Score: 0.722,  Stock name: 天齐锂业
Score: 0.722,  Stock name: 通威股份
Score: 0.722,  Stock name: 永兴材料
Score: 0.678,  Stock name: 华测检测
Score: 0.678,  Stock name: 盛新锂能
Score: 0.678,  Stock name: 圣邦股份
Score: 0.678,  Stock name: 恒瑞医疗
Score: 0.678,  Stock name: 香港交易所
Score: 0.678,  Stock name: 创世纪
Score: 0.678,  Stock name: 百润股份
Score: 0.678,  Stock name: 正海磁材
Score: 0.678,  Stock name: 晶方科技
Score: 0.678,  Stock name: 中国神华
Score: 0.633,  Stock name: 洛阳钼业
Score: 0.633,  Stock name: 芒果超媒
Score: 0.633,  Stock name: 华大基因
Score: 0.633,  Stock name: 太极实业
Score: 0.633,  Stock name: 立讯精密
Score: 0.633,  Stock name: 晨光文具
Score: 0.633,  Stock name: 航天电器
Score: 0.633,  Stock name: 杭可科技
Score: 0.633,  Stock name: 健帆生物
Score: 0.589,  Stock name: 上海贝岭
Score: 0.589,  Stock name: 长安汽车
Score: 0.589,  Stock name: 双汇发展
Score: 0.589,  Stock name: 航发动力
Score: 0.589,  Stock name: 多氟多
Score: 0.589,  Stock name: 德方纳米
Score: 0.589,  Stock name: 伊利股份
Score: 0.589,  Stock name: 均胜电子
Score: 0.589,  Stock name: 三诺生物
Score: 0.544,  Stock name: 山煤国际
Score: 0.544,  Stock name: 安井食品
Score: 0.544,  Stock name: 和而泰
Score: 0.544,  Stock name: 欧普康视
Score: 0.544,  Stock name: 古井贡酒
Score: 0.544,  Stock name: 拓普集团
Score: 0.544,  Stock name: 启明星辰
Score: 0.544,  Stock name: 华海药业
Score: 0.544,  Stock name: 顺络电子
Score: 0.544,  Stock name: 华微电子
Score: 0.500,  Stock name: 华兰生物
Score: 0.500,  Stock name: 格力电器
Score: 0.500,  Stock name: 中国建筑
Score: 0.500,  Stock name: 颐海国际
Score: 0.500,  Stock name: 广信股份
Score: 0.500,  Stock name: 金域医学
Score: 0.500,  Stock name: 博通集成
Score: 0.500,  Stock name: 当升科技
Score: 0.500,  Stock name: 中航机电
Score: 0.500,  Stock name: 同兴达
Score: 0.500,  Stock name: 科达利
Score: 0.500,  Stock name: 杉杉股份
